timestamp , luminance, accX, accY , accZ, accXwithG, accYwithG, accZwithG
39051.508056640625, 71.13859893073028, 0.0013, -0.0070, 0.0163, -0.1226, -0.0102, 9.8222
39087.050048828125, 71.13439336338546, -0.0010, 0.0135, 0.0282, -0.1248, 0.0105, 9.8340
39119.302001953125, 71.14013950215579, -0.0159, -0.0107, 0.0328, -0.1395, -0.0138, 9.8387
39153.387939453125, 71.13702055522062, 0.0083, 0.0063, 0.0318, -0.1154, 0.0030, 9.8376
39186.642822265625, 71.13235349399623, -0.0039, -0.0160, 0.0365, -0.1275, -0.0190, 9.8424
39219.325927734375, 71.13487626950628, -0.0076, 0.0088, 0.0315, -0.1314, 0.0055, 9.8373
39253.114990234375, 71.1424568082784, 0.0049, 0.0031, 0.0285, -0.1190, 0.0000, 9.8343
39287.424072265625, 71.13528342052561, -0.0051, -0.0118, 0.0288, -0.1290, -0.0148, 9.8346
39318.89013671875, 71.14821097154206, -0.0016, -0.0052, 0.0362, -0.1254, -0.0082, 9.8421
39354.614013671875, 71.14126076746355, 0.0027, 0.0026, 0.0316, -0.1212, -0.0004, 9.8375
39386.69091796875, 71.15357840011718, 0.0018, 0.0006, 0.0376, -0.1221, -0.0030, 9.8435
39422.322998046875, 71.16240289807584, -0.0098, -0.0079, 0.0229, -0.1336, -0.0114, 9.8288
39454.419921875, 71.1612018939906, 0.0072, 0.0011, 0.0319, -0.1167, -0.0022, 9.8378
39487.550048828125, 71.16394506133625, -0.0084, -0.0062, 0.0367, -0.1324, -0.0096, 9.8426
39519.994873046875, 71.15521869399034, 0.0017, -0.0118, 0.0355, -0.1226, -0.0153, 9.8414
39555.090087890625, 71.16243255521984, 0.0058, 0.0047, 0.0301, -0.1185, 0.0012, 9.8360
39588.6279296875, 71.16666447358669, 0.0005, 0.0034, 0.0322, -0.1242, -0.0003, 9.8381
39619.581787109375, 71.17292952664866, -0.0068, -0.0053, 0.0282, -0.1314, -0.0094, 9.8340
39656.838134765625, 71.17155400011582, 0.0024, 0.0016, 0.0234, -0.1220, -0.0027, 9.8292
39688.371826171875, 71.17704426950141, -0.0067, 0.0018, 0.0325, -0.1314, -0.0027, 9.8384
39722.210205078125, 71.17040523276866, -0.0042, -0.0051, 0.0518, -0.1291, -0.0094, 9.8577
39755.982177734375, 71.15778236746075, 0.0022, 0.0064, 0.0322, -0.1226, 0.0019, 9.8381
39790.25390625, 71.15774328174813, -0.0026, 0.0064, 0.0309, -0.1275, 0.0019, 9.8367
39822.469970703125, 71.15433165725528, 0.0027, 0.0014, 0.0340, -0.1223, -0.0031, 9.8399
39856.261962890625, 71.16020818786893, -0.0040, 0.0015, 0.0298, -0.1287, -0.0028, 9.8357
39889.01806640625, 71.14986370624098, 0.0008, 0.0112, 0.0321, -0.1238, 0.0072, 9.8379
39922.766845703125, 71.13771844093515, 0.0001, -0.0072, 0.0301, -0.1246, -0.0114, 9.8360
39957.30615234375, 71.15275450623723, -0.0069, -0.0083, 0.0301, -0.1312, -0.0126, 9.8360
39991.60009765625, 71.15236581236128, -0.0063, 0.0073, 0.0261, -0.1300, 0.0037, 9.8319
40022.97998046875, 71.15398065317757, 0.0040, -0.0032, 0.0392, -0.1197, -0.0067, 9.8451
40056.863037109375, 71.15482622052556, -0.0003, 0.0059, 0.0337, -0.1238, 0.0021, 9.8396
40090.955810546875, 71.1476990939968, -0.0065, -0.0118, 0.0276, -0.1299, -0.0156, 9.8334
40124.447021484375, 71.15740091440418, -0.0064, -0.0029, 0.0282, -0.1296, -0.0066, 9.8340
40155.22509765625, 71.15165391848669, -0.0044, 0.0038, 0.0398, -0.1275, 0.0000, 9.8457
40192.837890625, 71.1504390450127, -0.0039, -0.0011, 0.0415, -0.1267, -0.0052, 9.8473
40221.875, 71.15478604093492, 0.0058, -0.0065, 0.0279, -0.1173, -0.0105, 9.8337
40260.6708984375, 71.16421073480888, -0.0048, -0.0042, 0.0343, -0.1278, -0.0079, 9.8402
40290.423095703125, 71.15981737970401, -0.0089, -0.0041, 0.0192, -0.1320, -0.0076, 9.8251
40325.69091796875, 71.16712860419794, 0.0002, 0.0086, 0.0374, -0.1230, 0.0048, 9.8433
40357.180908203125, 71.16850009807705, -0.0007, -0.0070, 0.0463, -0.1239, -0.0109, 9.8521
40393.616943359375, 71.17987924092812, -0.0001, 0.0076, 0.0258, -0.1236, 0.0036, 9.8316
40424.7509765625, 71.17656099603694, 0.0065, 0.0132, 0.0276, -0.1172, 0.0090, 9.8334
40459.618896484375, 71.17880711031854, -0.0052, -0.0094, 0.0301, -0.1291, -0.0139, 9.8360
40491.895751953125, 71.18243604909449, -0.0007, -0.0120, 0.0286, -0.1243, -0.0162, 9.8345
40526.126953125, 71.1875192082803, 0.0010, 0.0110, 0.0421, -0.1229, 0.0070, 9.8480
40559.794189453125, 71.18234408174791, -0.0006, -0.0010, 0.0307, -0.1243, -0.0049, 9.8366
40593.18896484375, 71.17756257970643, 0.0040, 0.0002, 0.0323, -0.1193, -0.0039, 9.8382
40625.958984375, 71.17770922460427, 0.0008, 0.0136, 0.0301, -0.1224, 0.0096, 9.8360
40659.799072265625, 71.17156194297212, 0.0045, 0.0066, 0.0317, -0.1187, 0.0024, 9.8376
40692.10498046875, 71.17135654705669, -0.0020, -0.0024, 0.0300, -0.1251, -0.0066, 9.8358
40728.620849609375, 71.16720090623652, 0.0025, -0.0037, 0.0341, -0.1205, -0.0076, 9.8400
40760.696044921875, 71.16351405726213, -0.0067, 0.0050, 0.0335, -0.1294, 0.0007, 9.8394
40794.526123046875, 71.1625304899129, -0.0002, -0.0047, 0.0422, -0.1227, -0.0090, 9.8481
40827.31591796875, 71.1647886041936, 0.0059, 0.0022, 0.0313, -0.1166, -0.0019, 9.8372
40857.93505859375, 71.16608355930313, 0.0081, 0.0038, 0.0443, -0.1145, -0.0003, 9.8502
40894.4150390625, 71.16218321644389, -0.0040, -0.0144, 0.0392, -0.1266, -0.0184, 9.8451
40928.969970703125, 71.15923885725847, -0.0020, 0.0033, 0.0328, -0.1243, -0.0007, 9.8387
40960.10791015625, 71.16778685725907, -0.0027, 0.0022, 0.0445, -0.1249, -0.0021, 9.8503
40996.174072265625, 71.1697442368507, 0.0010, -0.0105, 0.0421, -0.1214, -0.0150, 9.8479
41028.510986328125, 71.17451497154393, -0.0030, 0.0030, 0.0304, -0.1251, -0.0013, 9.8363
41061.8349609375, 71.1724147919531, -0.0039, 0.0046, 0.0314, -0.1264, -0.0001, 9.8373
41095.1767578125, 71.18201404093254, -0.0024, -0.0053, 0.0437, -0.1249, -0.0106, 9.8496
41128.968017578125, 71.17690471031617, -0.0084, 0.0037, 0.0295, -0.1308, -0.0015, 9.8354
41159.18408203125, 71.18201711031986, 0.0030, 0.0071, 0.0364, -0.1196, 0.0021, 9.8423
41198.93408203125, 71.18320374705499, -0.0015, -0.0008, 0.0443, -0.1239, -0.0058, 9.8502
41225.14306640625, 71.19123671032133, -0.0067, 0.0026, 0.0382, -0.1294, -0.0025, 9.8441
41265.525146484375, 71.18626555113836, 0.0009, -0.0016, 0.0395, -0.1215, -0.0064, 9.8454
41292.60302734375, 71.19375080827895, -0.0025, -0.0072, 0.0445, -0.1252, -0.0120, 9.8503
41333.071044921875, 71.18379454705318, -0.0097, -0.0038, 0.0401, -0.1329, -0.0084, 9.8460
41362.47412109375, 71.1838750205236, -0.0038, 0.0147, 0.0392, -0.1264, 0.0105, 9.8451
41396.26708984375, 71.19519924909352, 0.0008, 0.0079, 0.0302, -0.1217, 0.0039, 9.8361
41429.588134765625, 71.20434363276024, 0.0035, -0.0016, 0.0298, -0.1193, -0.0057, 9.8357
41463.890869140625, 71.19927735521117, 0.0000, 0.0040, 0.0424, -0.1229, 0.0003, 9.8482
41497.308837890625, 71.20481764908772, -0.0014, -0.0018, 0.0496, -0.1242, -0.0054, 9.8554
41530.30419921875, 71.19733129806941, -0.0088, 0.0023, 0.0326, -0.1318, -0.0013, 9.8385
41563.216796875, 71.19516844909427, -0.0020, 0.0096, 0.0328, -0.1249, 0.0060, 9.8387
41597.5068359375, 71.19305730623648, 0.0029, 0.0077, 0.0383, -0.1200, 0.0042, 9.8442
41631.23828125, 71.19553791847994, -0.0090, -0.0058, 0.0175, -0.1321, -0.0091, 9.8234
